"moniker","time","Angry","EmotionChronometry","Enthusiastic","Happy_e","Irritated","MWoccur","Nervous","Pleased","Relaxed","Sad","Stressed"
"1",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",1.2,1,1,5,6,6,0,1,5,7,1,1
"1",1.3,1,1,5,5,3,0,1,6,7,1,1
"1",1.4,1,60,4,5,6,1,1,4,4,1,2
"1",1.5,1,1,4,6,1,0,1,4,7,1,1
"1",2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2.2,1,30,6,6,1,1,1,7,6,1,1
"1",2.3,1,1,6,6,1,1,1,6,7,1,1
"1",2.4,1,30,6,7,1,0,1,6,6,1,2
"1",2.5,1,60,6,6,2,0,1,6,6,1,2
"1",3.1,1,30,6,4,2,0,4,5,7,4,3
"1",3.2,1,60,3,4,1,0,1,4,7,4,1
"1",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",3.4,1,1,5,5,1,1,1,5,7,2,1
"1",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",4.2,1,60,4,6,1,1,1,4,7,1,1
"1",4.3,1,1,4,6,1,0,1,5,7,1,1
"1",4.4,1,30,5,7,1,0,1,7,7,1,1
"1",4.5,1,60,4,6,1,0,1,5,7,1,1
"1",5.1,1,30,5,6,1,0,1,5,7,1,1
"1",5.2,1,1,4,5,1,0,1,5,7,1,1
"1",5.3,1,1,4,5,1,0,1,5,7,1,1
"1",5.4,1,1,5,5,1,1,1,6,6,1,1
"1",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",6.1,1,240,4,6,1,0,1,5,7,1,1
"1",6.2,1,1,4,5,1,1,1,5,7,1,1
"1",6.3,1,1,4,6,1,0,1,6,6,1,1
"1",6.4,1,1,5,7,1,1,1,6,7,1,1
"1",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
