time,contime,raw time,TimeofDay
1.1,1,0,0
1.2,2,2,1.414213562
1.3,3,4,2
1.4,4,6,2.449489743
1.5,5,8,2.828427125
,6,10,3.16227766
2.1,7,0,0
2.2,8,2,1.414213562
2.3,9,4,2
2.4,10,6,2.449489743
2.5,11,8,2.828427125
,12,10,3.16227766
3.1,13,0,0
3.2,14,2,1.414213562
3.3,15,4,2
3.4,16,6,2.449489743
3.5,17,8,2.828427125
,18,10,3.16227766
4.1,19,0,0
4.2,20,2,1.414213562
4.3,21,4,2
4.4,22,6,2.449489743
4.5,23,8,2.828427125
,24,10,3.16227766
5.1,25,0,0
5.2,26,2,1.414213562
5.3,27,4,2
5.4,28,6,2.449489743
5.5,29,8,2.828427125
,30,10,3.16227766
6.1,31,0,0
6.2,32,2,1.414213562
6.3,33,4,2
6.4,34,6,2.449489743
6.5,35,8,2.828427125
,36,10,3.16227766
7.1,37,0,0
7.2,38,2,1.414213562
7.3,39,4,2
7.4,40,6,2.449489743
7.5,41,8,2.828427125
,42,10,3.16227766
8.1,43,0,0
8.2,44,2,1.414213562
8.3,45,4,2
8.4,46,6,2.449489743
8.5,47,8,2.828427125
,48,10,3.16227766
9.1,49,0,0
9.2,50,2,1.414213562
9.3,51,4,2
9.4,52,6,2.449489743
9.5,53,8,2.828427125
,54,10,3.16227766
10.1,55,0,0
10.2,56,2,1.414213562
10.3,57,4,2
10.4,58,6,2.449489743
10.5,59,8,2.828427125
,60,10,3.16227766
11.1,61,0,0
11.2,62,2,1.414213562
11.3,63,4,2
11.4,64,6,2.449489743
11.5,65,8,2.828427125
,66,10,3.16227766
12.1,67,0,0
12.2,68,2,1.414213562
12.3,69,4,2
12.4,70,6,2.449489743
12.5,71,8,2.828427125
,72,10,3.16227766
13.1,73,0,0
13.2,74,2,1.414213562
13.3,75,4,2
13.4,76,6,2.449489743
13.5,77,8,2.828427125
,78,10,3.16227766
14.1,79,0,0
14.2,80,2,1.414213562
14.3,81,4,2
14.4,82,6,2.449489743
14.5,83,8,2.828427125
,84,10,3.16227766
